product,title,rating,body
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Value of money,5.0,"I liked the productI am giving the review after 33daysRear camera-9/10 it is amazingFront camera- 7.5/10 it is decentOverview -10/10 its damm goodPerformance- 9/10 i play Freefire and its amazing lag free experienceBattery - 10/10 Amazing my usage is 10-11 hrs and still there is 20-27percent battery leftScreen quality 8.5/10 its goodRam Management - 7/10 its ok , it only keep last six app in background and after that the aap restartsInhand feel - 10/10 Good but its little bit wideCharging - 8/10 takes 2hrs. But it is ok u have to charge only once a dayLag free experienceValue of money -9.5/10No heating issueU can go for it"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Nice phone,5.0,Good Performance and nice display
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display","""Made in China""😡",1.0,"Really Disappointed.""Made In China"" product!No ""Made in India by Redmi"" ? (the reason, I selected Redmi. but disappointed)Giving '1star' because,no '0star' option is there!!!![1. Giving 1star to 'made in china'. 2. Not reviewing for 'Quality & all']"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Value for money,4.0,Nice phone
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Please not buy this product,1.0,This product is not good at all.I request you to not buy this product.I have problem with this device & I did not get any resolution.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Worst phone ever I received .,1.0,I brought this phone. Flash is not working properly. No intensification in flash. It working like touch is on. I complained to customer care. They sent AC repairman. I said he is AC repairman they said he is all in one. He just reset the phone and said now it works well but there is no change in previous result and the one after reset.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Misguiding information.,1.0,"Misguiding information!!!!!!In the banner it says ""Made in India"". But in reality it is ""Made in China"". It is a blatant attack on trust. This can't be tolerated!!Beware of misguiding information...."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Awesome,5.0,Awesome mobile
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Not value for money,1.0,Price is too high compared to specsShould have gone for m21
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",About mi Note 9,5.0,Ultimate 📷..... 🔋 backup is very good.....👌
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Good,4.0,Good for this price range..
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Up to the mark,5.0,Awesome product..go for it guys..delevery and packing is also good..i got it only in two days
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Fedup in the very first day.,2.0,Looks premium and mi claims that it has quite a lot of features. Has a better IR blaster for remote accessibility. Only the camera is the best in the price range and other aspects it’s a Piece of shit.Kindly don’t buy Becoz it’s worth only for 8-9k Move to Samsung or any other phone. Fedup with the performance of the phone in the very first day. The 2stars are only for the camera Quality and IR blaster. Phone lags much and Gaming performance is too poor and way of handling this phone requires a lot of patience as it loads for longer time for some of the app details. Battery last better and Camera quality is good that’s all. Not worthy for 13.5k.Pls don’t buy it if you expect performance from this phone or if you think you can have better features phone.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",🙄Redmi changed lifestyle😎🤭🤷‍♂️,5.0,"I brought this phone for my youtube channel review,I thinks that it's a great part product for me because it's Four cameras on the back, punch-hole on the front , camera is perfect, It's me changed my status and one of the best phone i ever had review in last few days  phone capacity 128GB killer memory, Good battery it last 1 to 2 days with normal used. However, Mobile legend has a lot of frame drop when you set it into High Graphic but still manageable when you set to medium graphic. So sad, I thought this is much better compared to lasted redmi phones,The quad-camera setup is almost the same as on the Note 9S but with one small difference - the 5MP f/2.4 camera has been swapped for a 2MP f/2.4 one with autofocus, which is a very welcome feature because it makes macro photography that much easier.The main camera has been borrowed - 48MP with f/1.8 aperture as well as the ultra-wide unit - 8MP with f/2.2 aperture. The ultra-wide's sensor is quite small measuring at 1/4.0"" with 1.12µm. And, of course, the 2MP depth sensor, which serves more of an aesthetic purpose than functional one.Ｖｉｄｅｏ ｒｅｃｏｒｄｉｎｇUnfortunately, the phone supports video recording only up to 1080p at 30 fps. There aren't many modes in which you can shoot in either. A cinematic aspect ratio is available to add some dramatic effect to the video, but that's pretty much it.The Full HD video itself is a bit on the soft side and the dynamic range seems a bit too narrow. You can't see anything in the shadows and clouds in the sky are just a tad brighter than they should."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Dharmendra,5.0,Nice camera quality
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Selfie Camera Very Bad,1.0,"Selfie Camera Not As Expected-Picture Quality Very Bad, Appearing Small Dots On Entire Face During And After Selfie Clicks.Rear Camera :Rear Camera Picture Quality Nice But Detailing Not good."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Thanks Amazon,5.0,Nice product
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Great phone,5.0,"Excellent picture quality,great battery backup"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Nice product,4.0,Very good in quality nice camera22.5 w given but it's supporting 18w Delivery is fine worth for priceBattery backup is very good
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Superb phone,5.0,Awesome product by redmiBest photo quality best screen superb design and everything is best with 128 gb internal and 6 gb ram under this price range🔥
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",GOOD,5.0,Good productEasy to useCamera quality bestLooking goodLight weightBest for gaming#Mi
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display","The 48 MP camera is  a fake advertisement, it works like 16 MP camera",1.0,"PROS- 5000 batteryAVARAGE- processor( the mediatek processor hit a lot)CONS-CAMERA( it is fake, works like normal 16 MP camera, it is just for advertisement).CHARGER( though company says it is of 22.5 W, it takes a lot of time to charge) .ADVERTISE( you all know how the adds disturb you every time)."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display","Ok phone under 12k, buy redmi 9 prime at 10k or buy redmi note 9 pro under 14k",3.0,"Product is not super value for money. Back panel plastic quality not so good.Camera perform great in daylight condition and ok in low light.I have also note 9 Pro I think that is super value for money under 14000 if you budget permit then go for it. By paying extra 2000 rupees for redmi note 9 Pro you got great build quality with back side glass, UFS 2.1 rom for storage and to great camera."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",clicking sound around fingerprint sensor ? anyone,3.0,"today, i noticed a clicking sound around the fingerprint sensor for my new phone. anyone else face same problem ?"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Best  design in this price range,4.0,Good look design fhd displayGood color combinationBest phone in this price range .Thanks Amazon for delivery since delivery agent was not good after complaint to Amazon he delivers the phoneThanks Amazon for hearing the customers.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",😠😠Verry slow charging it's not support fast charging.,2.0,Phone Performance overroll good but charging speed is too slow it's take more time to charge my phone 35 to 100 percent charge on a 3 hours i am not satisfied. I am student and going to college in morning but phone take to more time to charge its 1 hours take to 30 percentage on charge. 😡😡😡😡😡😡😡
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Performance phone,4.0,Very good phone powered with battery and performance at this Price .But the problem is the Camera clarity.I compared it with MI A3 48 MP camera with this and was very Disappointed...No other problems
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",So much heating issue and really worse,1.0,Worst phone evee
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Made in china,1.0,Why it's made in china in advertising made in india
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Positive and negative about redmi note 9,4.0,"Positive parts1. Performance is best.2. Multitasking3. Screen display4. Protection5. Sound6. CameraNeed to improve by xiomi (negative)1. Unwanted app and banned app is still use in this like clean master, etc must have remove option or fixed it with update.2. Price is little on higher side.3. Why not given 90hz refresh4. Colors availability5. Night photos not up to the mark.Overall good phone. unwanted app must remove by manufacturer as guideline by govt of india."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Charging heating,1.0,"When I Charging that time mobile is heating more . So, please contact me  or return this product"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",#Mi #Note9 (6/128) is Best According to its performance.,5.0,#Redmi #Note9 (6/128) is a great phone for both normal use gaming and productivityHighly satisfied with the mobile.Awesome looks Superb.Quad camera looks superb.Highly recommended mobile.Battery backup is goodDisplay quality goodAnd performance as per processor is awesome as #MI #Note9 is best.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",The Best budget smartphone for students.,5.0,Best product for homeschooling students and this e who are new users. It's a great combo and manages every tasks vet well . The helio g85 chipset is almost equivalent to Snapdragon 712 . If you are a student and buying a new phone it's the no. 1 preference. Please don't listen to those who say this isn't a great phone . Believe me I have used it. Now if you are planning to play games more than 2 or 3 and pubg. Hours then not only this phone but flagship phones will also heat up a bit and lag. Take care of the phone and this will be of great choice to all.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Built Quality is not so good.,2.0,"When you think about mi, it is best in market as per processor and memory but brand mark of china put your moral down,This is good handset with trademark of made in India - Big Reason to buy this.Pros:Quad Camera at this low rangeHigh Internal Memory and RAM.Very sleek design and thin as compared to other old mobiles of mi family.Processor is also good, no hanging issues while playing gamesCons:Signal strength struggles in every type of SIM Card, which defeat the very purpose of Mobile phone.Built quality is very bad, it will absolutely break if it felt down.Plastic frames seems to be very made of cheap quality which doesn't made grip without cover."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Amazon is not looking on customer satisfaction,1.0,Totally disappointed in slow motion video recording. Have a look at the recorded show motion video!!!!. I was trying to return the Redmi note 9 but this Amazon is not giving option to return and I fedof calling them and following up. Please don't buy any product from Amazon.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Phone is good but camera is not good.,3.0,Phone is good but front & rear camera is not good photo clicked by 48 mp camera is look like 5 mp camera photo.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Outstanding,5.0,Go for it mid range buget phone...
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Poor Quality,1.0,"I am writing this after a week usage1. Front camera sucks and blur the photos2. Slow device, I tried opening saved video from gallery but it takes time to do it3. Profille on Instagram and Facebook are not visible clearly4. While watching videos on YouTube, I can feel slowness and clarity issueRaised issue with Amazon and returing the device.Thanks Amazon for helping a genuine customer."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display","Waste redmi 9 sold by amazon ,never buy it brothers and sisters.",1.0,Waste product...i hate amazon because of selling non worthy product to me....mobile is over heating and battery draining too fast.no network and unato hear calls properly.in same place i kept other mobiles and cross checked them.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display","Average phone, don't expect much. Camera is just average.",4.0,"Average phone. Good for price. Camera sensor is very poor quality. If you take large 48 MP picture, you can see the dead pixels in the zoomed photo. They glitter like stars. Even if you cover the camera and take photo, these pixels come out white colours.Other than that, everything seems nice. I used a program to uninstall all the crap Xiaomi bloatware from my phone, (like mipay, cleaner, micommunity, etc).As a result I don't see any ads.I play asphalt 9, game runs smoothly in playable fps.Processor Helio G85 is same as G80, nothing extra.Mi UI is crap. My last phone was Mi A1, which had stock android. Can't understand why Xiaomi, oppo, etc spend money in developing these crappy skins. Stock android is best.Final thoughts: Good phone to use for 1 year, 2 at most. Price could have been 1k less.Looking forward to buy pixel 4a next year when price comes down."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Not satisfied,3.0,Camera quality is very poor. Other features are also very low. Overall it is low product in a very high price.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Impressive All rounder mobile,5.0,Very fast delivery..loved the mobile...
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",It's a great experience.,5.0,"I hope I wouldn't need to edit my comment if it's too early or after I am more experienced with the mobile , but using it for few days after purchasing it recently I would say that it's a beautiful phone with a brilliant display quality and size , faster performance and a more than satisfactory camera quality , not to mention of its huge 128 GB storage capacity. The battery is good and lasts sufficiently according to usage.The only issue I found that it is pre-installed with a 'Get Apps' app from where you have to download and update your apps while Google Play Store seems not to work at all in it. You will not even find many Google apps in the pre-installed app. Besides that you will be consuming your internet data faster with this phone , you know that."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Made in china product.,1.0,Made in China product delivered to me instead of made in india.This is really not expected. Advertising as it is made in india but sending china product.This is one kind of fraudulent. This happened 2 times.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display","Very bad experience, wifi connectivity issue",1.0,"Your browser does not support HTML5 video.


   I bought this in the sale and was very happy that I got in offer price, it worked very good the day we received but from next day we experienced wifi connectivity issue (wifi connects and disconnects by itself, I had done couple of phone resets but the issue didn't resolve & i raised the issue with Amazon customer service and they appointed mobile inspection service the next day. A person came and inspected but couldn't resolve and updated the issue as it is and same day received a call from the Amazon customer service and told they will replace with a new phone and received a replace but this time also we experienced the same issue, and now we are waiting for the person who will come for inspection to check the issue. It was the same and we asked for refund and refunded at last. Thank you Amazon. If this was the issue with Flipkart they would not refund and tell us to got to the service center. Amazon is the best👍"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",fantastic mobile..super..,5.0,Super mobile....Camera quality better ( front and back)..sound effect super..Battery backup super..Dispaly quality ok..Reverse Charging super..i charged blutooth headset give better charging..Reverse charging working...Overall better phone
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Great deal go for it,5.0,The phone is beautiful looks stunning works fast thanks MI for making this budget friendly phone I was planning to buy redmi 9 prime but it was barely available it usually gets sold out in seconds so I increased my budget and took redmi note 9It's really good at 12k with amazing performance camera is awesome night mode is awesome charge really fast I bought this phone for my mother and she is really vry happy so if ur pocket allows you to buy for 12k go for it if u have 10k tight budget then wait for redmi 9 prime sale that phn is exactly same as this one jst with a bit camera differenceOver all I'll give 4.5 out of 5 to this phoneThanks xaomi🥰
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Good budget phone,3.0,I will go directly to pros and consProsBatteryRear cameraHelio processor is goodConsBulky and thickFront cameraDisplayOverall it's a nice phone in this range I bought it for 12k so with this price range it's a ok ok phone won't expect much in terms of performance wise but u can consider buying it if you are looking for a budget phone.....and a mi lover like me:)
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",A beast at this price !,5.0,"I ordered it from the first flash sale and was delivered at 26th july. Best at this budget,Battery and Charging is cool,little bit heat generated,while high usage due to polycarbonate back i can feel it easily i think,rear cam is superb,front cam is good at this price, OS is decent,waiting to receive MIUI 12 update..Overall i rate 9 out of 10 !MIUI 12 received a month back..but heating has been increased while gaming and charging"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Sensors problems,1.0,"I'm aware that when your colour mode is set to auto, the contrast can get really high in sunlight to make the display easier to see. I'm personally not a fan of this feature, so I turned it off on my previous phone.Now I've got the Redmi Note 9  with MIUI 11, but even after setting the colours to default, the contrast still changes in sunlight. What's worse, it tends to ""spas out"" when in a car for instance. It seems that the sensor/software is confused whether or not the contrast should be increased or not, so in the end the display starts to almost flash by continuously lowering and upping the contrast.I've tried restarting the phone, and turning the auto colour feature on and off. The problem still persists. Not sure if this is a bug or not. And if it's not a bug, is there a way to turn the feature off completely?"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Great value for money,4.0,Great phone and great feel
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",REDMI NOTE 9 - BEAST,5.0,"BEST BUDGET PHONE IN THIS RANGEBATTERY LIFE IS VERY GOOD, when unpacked, the beast had 60% alreadyLESS BLOATWARE is nice thing with the Android One & MIUI 11 but I got instant MiUi 12 so very happyIt is very slim & very big easy to hold & gives good grip but menu is inaccessible sometimes because its very big phoneIn the box they gave pin a fast charger usb 3.0 & plastic transparent cover as well. It also has nice screenguard without any printings on itVery impressed by looks the glossy back makes it looks rich & royal. I am suggesting it for you guys go for it"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",I got damaged mobile,1.0,I received mobile on 13-08-2020 but this mobile is with a small black dotted.its worst item which i received.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Bad front facing Camera fake 12 mp cam.,2.0,"Don't purchase it guys, I am not happy about front facing camera, it states 12 mp but works like 5 mp camera, not expected from Xiaomi for camera quality. Rest phone is good and being a big battery phone fells light weight and also fells good to hold.Lets see if update is given regarding the front camera issues."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Redmi note 9,4.0,It is really an Undisputed champion.But arctic white colour disappoint me..Other then that it is flawless
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",It could be better 🙂...I don't recommend,3.0,"Updating my review after 22 daysPros :1. Battery -5000mAh2. Display 6.53inch3. Processor G854. Fast reaction5. CameraCons :1. Front camera isn't upto the mark2. Battery could be 6000mAh3. Display brightness isn't better,can't see in sunlight.Adding these after using 1 month👇4. TOO much heating problem5. If you're a gamer then it isn't for you bcz also too much lagging problem.6. Battery is draining too fast as didn't expectedI'LL RECOMMEND POCO M2 THAT HAVE1. 6GB &64GB INTERNAL2. CAMERAS ARE GOOD3. BATTERY IS 5000mAh4. G80 PROCESSOR5. SCREEN 5.53""AND PRICE IS ONLY 10,999 😇.you're GOING TO SAVE AROUND 1K WITH QUALITY PHONE FEATURES."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Redmi Note 9 Scarlet Red - Xiaomi at it's best again,5.0,"The look of the phone and color are awesome, for the first time I am using other than black and grey colors in phone.Camera - Selfie is amazing, back camera good but not up to the mark. But, if you select 48MP and took a photo, it is very good.Charging - Super fast, it took less than an hr from 20% - full charge.Weight - When you have case on it, you will feel something we are holding. Of-course every mobile will weigh, when you put the case on it.Performance - Since 2 days I am using it, it's really fast and want to observe more to write about it more.Display - it's large and very clear. Its an edge-to-edge screen and even we can change the settings of display to reduce the display size.Overall, if you are looking for best phone under 12K INR, blindly you can go for it."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Beet budget phone,4.0,"Very best smartphone under the budget segments with best camera, performance, display and battery backup"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Camera not Good.,3.0,Camera is Not Good.Photo Yello type.not Captured original Color.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Made in China Product,1.0,"This product is made in China, even though Amazon claims that it is made in India. This phone also contains lot of banned apps like cleaner and other which you can not uninstall.We did not expect from Amazon that they will cheat the customers by wrong promotions of Made in India."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Good for the price,2.0,I would like to review the redmi note note 9First prosPrimary Camera GoodRam management  betterDisplay Good128 GB internal memory goodApps are working butter smoothType C portConsSecondary camera very worst. They need to update via software update.Charging takes three hours 😔. Too bad on charging time saying fast charger.Loudspeaker sound little when compared to SamsungEdit: Charging took 5 hours which is not acceptable. Called amazon for further help. Mobile is fine no issues
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Not worth for flash sale at all,1.0,MI has just retained the strategy fash sale marketing to sell this phone. Which is not worthy at all. Performance of the chipset is not good. For this price we can better move on to M series which have a better display.Pros:Camera quality is good.Fast charge is good.Cons:Display is not as good as compared to other phones in this same segmentHeating up when playing gamesBattery back up is just ok. It stands for 1.5 days for normal usage.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Owsm phone #mi,5.0,"#miMindblowing #mi phone----#mi Battery is ExcellentProcessor is Very FastCamera Not Upto MarkThis is not 48 Megapixel CameraReally Good Camera  48 MP#mi Display Quality is Very Good , Colour is Punchy (1080) P#mi Sound Quality is Nice."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Wastage of money.... Don't buy....,1.0,Don't buy waste product..... Battery taking 4 hrs to charge full... Display quality not full HD...battery backup not good.... Am totally disappointed... On note 9...wastage of  money........camera qality average not good .....before buying think.. Think think... Otherwise u will fail....
